LOG_ID,STR_NBR,STR_FRAC,STR_DIR,STR_NAME,STR_SUFF,STR_SUFF_DIR,STR_UNIT,ZIP_CODE
15882,2174,,E,103RD,ST,,,90002
1421,446,,W,106TH,ST,,,90003
15884,604,,W,10TH,ST,,,90731
15820,631,,W,10TH,ST,,,90731
15830,675,,W,10TH,ST,,,90731
15825,822,,W,10TH,ST,,,90731
15616,890,,W,10TH,ST,,,90731
15827,926,,W,10TH,ST,,,90731
15826,935,,W,10TH,ST,,,90731
15822,1129,,W,10TH,ST,,,90731
21315,1926,,S,10TH,AVE,,,90018
1239,6015,,S,10TH,AVE,,,90043
1309,6200,,S,10TH,AVE,,,90043
1310,6210,,S,10TH,AVE,,,90043
1303,6329,,S,10TH,AVE,,,90043
1305,6407,,S,10TH,AVE,,,90043
1306,6416,,S,10TH,AVE,,,90043
1307,6419,,S,10TH,AVE,,,90043
1308,6429,,S,10TH,AVE,,,90043
1297,6809,,S,10TH,AVE,,,90043
1298,6821,,S,10TH,AVE,,,90043
1439,7211,,S,10TH,AVE,,,90043
16080,1786,,E,110TH,ST,,,90059
1248,844,,W,111TH,ST,,,90044
7546,326,,W,11TH,ST,,,90731
7548,340,,W,11TH,ST,,,90731
7538,618,,W,11TH,ST,,,90731
16083,660,,W,11TH,ST,,,90731
7539,723,,W,11TH,ST,,,90731
7540,824,,W,11TH,ST,,,90731
7543,962,,W,11TH,ST,,,90731
7545,1179,,W,11TH,ST,,,90731
7544,1184,,W,11TH,ST,,,90731
646,1629,,W,11TH,PL,,,90015
323,1663,,W,11TH,PL,,,90015
319,1863,,W,11TH,PL,,,90006
22688,2895,,W,11TH,ST,,,90006
24828,3159,,W,11TH,ST,,,90006
944,6117,,S,11TH,AVE,,,90043
943,6117,,S,11TH,AVE,,,90043
1184,6733,,S,11TH,AVE,,,90043
1183,6812,,S,11TH,AVE,,,90043
7619,136,,E,120TH,ST,,,90061
7626,708,,W,120TH,ST,,,90044
7627,738,,W,120TH,ST,,,90044
7630,509,,W,121ST,ST,,,90044
7792,866,,W,126TH,ST,,,90044
7795,820,,W,12TH,ST,,,90731
7803,972,,W,12TH,ST,,,90731
7797,985,,W,12TH,ST,,,90731
7801,1030,,W,12TH,ST,,,90731
7800,1042,,W,12TH,ST,,,90731
7802,1066,,W,12TH,ST,,,90731
736,1652,,W,12TH,ST,,,90015
1138,2380,,W,12TH,ST,,,90006
1137,2692,,W,12TH,ST,,,90006
1136,2772,,W,12TH,ST,,,90006
22697,2900,,W,12TH,ST,,,90006
22771,3011,,W,12TH,ST,,,90006
23129,3518,,W,12TH,ST,,,90019
23130,5121,,W,12TH,ST,,,90019
23132,5356,,W,12TH,ST,,,90019
15773,242,,W,13TH,ST,,,90731
15771,565,,W,13TH,ST,,,90731
16844,576,,W,13TH,ST,,,90731
15772,663,,W,13TH,ST,,,90731
7805,1020,,W,13TH,ST,,,90731
15706,1049,,W,13TH,ST,,,90731
15707,1062,,W,13TH,ST,,,90731
7804,1144,,W,13TH,ST,,,90731
15796,530,,W,14TH,ST,,,90731
15798,545,,W,14TH,ST,,,90731
15804,900,,W,14TH,ST,,,90731
15803,972,,W,14TH,ST,,,90731
16848,1021,,W,14TH,ST,,,90731
16845,1103,,W,14TH,ST,,,90731
15805,1110,,W,14TH,ST,,,90731
1147,2229,,W,14TH,ST,,,90006
16787,223,,W,15TH,ST,,,90731
16785,250,,W,15TH,ST,,,90731
16786,263,,W,15TH,ST,,,90731
16784,380,,W,15TH,ST,,,90731
15731,721,,W,15TH,ST,,,90731
25066,727,,W,15TH,ST,,,90731
25064,1024,,W,15TH,ST,,,90731
1153,2205,,W,15TH,ST,,,90006
1151,2214,,W,15TH,ST,,,90006
1152,2241,,W,15TH,ST,,,90006
1150,2255,,W,15TH,ST,,,90006
19165,3035,,W,15TH,ST,,,90019
19166,3051,,W,15TH,ST,,,90019
21320,3103,,W,15TH,ST,,,90019
19163,3511,,W,15TH,ST,,,90019
15738,819,,W,165TH,PL,,,90247
15735,825,,W,165TH,PL,,,90247
4136,835,,W,165TH,PL,,,90247
15736,837,,W,165TH,PL,,,90247
15739,821,,W,167TH,ST,,,90247
15740,825,,W,167TH,ST,,,90247
15741,851,,W,169TH,ST,,,90247
16655,852,,W,169TH,ST,,,90247
16656,572,,W,16TH,ST,,,90731
16719,624,,W,16TH,ST,,,90731
16658,678,,W,16TH,ST,,,90731
21384,2605,,W,16TH,PL,,,90019
21383,4517,,W,16TH,PL,,,90019
16721,523,,W,17TH,ST,,,90731
16722,524,,W,17TH,ST,,,90731
15585,720,,W,17TH,ST,,,90731
1158,1035,,W,17TH,ST,,,90015
745,1044,,W,17TH,ST,,,90015
21388,3414,,W,17TH,ST,,,90019
21389,3520,,W,17TH,ST,,,90019
25030,4533,,W,17TH,ST,,,90019
21396,4536,,W,17TH,ST,,,90019
21395,4542,,W,17TH,ST,,,90019
21394,4546,,W,17TH,ST,,,90019
21393,4551,,W,17TH,ST,,,90019
21392,4623,,W,17TH,ST,,,90019
21336,4639,,W,17TH,ST,,,90019
21327,4647,,W,17TH,ST,,,90019
21386,4702,,W,17TH,ST,,,90019
21323,4716,,W,17TH,ST,,,90019
21328,4819,,W,17TH,ST,,,90019
21329,4820,,W,17TH,ST,,,90019
21330,4823,,W,17TH,ST,,,90019
21332,4833,,W,17TH,ST,,,90019
21334,4843,,W,17TH,ST,,,90019
21335,4853,,W,17TH,ST,,,90019
3003,15,,E,18TH,AVE,,,90291
15589,823,,W,18TH,ST,,,90731
15588,1023,,W,18TH,ST,,,90731
749,1112,,W,18TH,ST,,,90015
750,1116,,W,18TH,ST,,,90015
22493,2346,,W,18TH,ST,,,90019
22491,2404,,W,18TH,ST,,,90019
22492,2405,,W,18TH,ST,,,90019
22502,2442,,W,18TH,ST,,,90019
22496,3215,,W,18TH,ST,,,90019
21337,4517,,W,18TH,ST,,,90019
22497,4520,,W,18TH,ST,,,90019
24695,4557,,W,18TH,ST,,,90019
22499,4622,,W,18TH,ST,,,90019
22501,4816,,W,18TH,ST,,,90019
22500,4825,,W,18TH,ST,,,90019
22498,4837,,W,18TH,ST,,,90019
22495,4848,,W,18TH,ST,,,90019
3004,10,,E,19TH,AVE,,,90291
3005,15,,E,19TH,AVE,,,90291
3006,25,,E,19TH,AVE,,,90291
15592,927,,W,19TH,ST,,,90731
16508,724,,W,1ST,ST,,,90731
16507,739,,W,1ST,ST,,,90731
16061,1846,,E,1ST,ST,,,90033
16062,3451,,E,1ST,ST,,,90063
8620,3900,,W,1ST,ST,,,90004
8557,3921,,W,1ST,ST,,,90004
8943,4005,,W,1ST,ST,,,90004
20934,4515,,W,1ST,ST,,,90004
20933,4555,,W,1ST,ST,,,90004
20936,4573,,W,1ST,ST,,,90004
20935,4601,,W,1ST,ST,,,90004
13629,7955,,W,1ST,ST,,,90048
14013,8403,,W,1ST,ST,,,90048
16510,1660,,W,204TH,ST,,,90501
16576,1514,,W,205TH,ST,,,90501
16577,1655,,W,205TH,ST,,,90501
16860,1524,,W,206TH,ST,,,90501
16825,1620,,W,206TH,ST,,,90501
16823,1635,,W,206TH,ST,,,90501
16822,1639,,W,206TH,ST,,,90501
16821,1643,,W,206TH,ST,,,90501
16759,1645,,W,206TH,ST,,,90501
16579,1651,,W,206TH,ST,,,90501
16578,1655,,W,206TH,ST,,,90501
15627,1534,,W,207TH,ST,,,90501
16862,1544,,W,207TH,ST,,,90501
15628,1548,,W,207TH,ST,,,90501
15631,1667,,W,208TH,ST,,,90501
15632,1650,,W,209TH,ST,,,90501
3007,20,,E,20TH,AVE,,,90291
1126,1423,,W,20TH,ST,,,90007
1124,1750,,W,20TH,ST,,,90007
751,1858,,W,20TH,ST,,,90007
1121,1862,,W,20TH,ST,,,90007
22852,1925,,W,20TH,ST,,,90018
21212,2338,,W,20TH,ST,,,90018
24709,2383,,W,20TH,ST,,,90018
22858,5070,,W,20TH,ST,,,90016
22860,5118,,W,20TH,ST,,,90016
22861,5138,,W,20TH,ST,,,90016
22862,5142,,W,20TH,ST,,,90016
22854,5192,,W,20TH,ST,,,90016
15752,1625,,W,218TH,ST,,,90501
15751,1633,,W,218TH,ST,,,90501
15750,1639,,W,218TH,ST,,,90501
15881,1648,,W,218TH,ST,,,90501
15880,1664,,W,218TH,ST,,,90501
15755,1607,,W,219TH,ST,,,90501
15756,1609,,W,219TH,ST,,,90501
15753,1636,,W,219TH,ST,,,90501
15754,1649,,W,219TH,ST,,,90501
15758,1661,,W,219TH,ST,,,90501
15762,522,,W,21ST,ST,,,90731
15761,529,,W,21ST,ST,,,90731
14556,615,,E,21ST,ST,,,90011
15764,622,,W,21ST,ST,,,90731
15763,635,,W,21ST,ST,,,90731
15759,703,,W,21ST,ST,,,90731
1131,925,,W,21ST,ST,,,90007
14555,1352,,E,21ST,ST,,,90011
14554,1375,,E,21ST,ST,,,90011
21567,2356,,W,21ST,ST,,,90018
21566,2515,,W,21ST,ST,,,90018
21312,3416,,W,21ST,ST,,,90018
15623,1415,,W,224TH,ST,,,90501
15625,1426,,W,224TH,ST,,,90501
15689,1444,,W,224TH,ST,,,90501
15622,1603,,W,224TH,ST,,,90501
15691,1308,,W,225TH,ST,,,90501
15690,1312,,W,225TH,ST,,,90501
15696,1346,,W,225TH,ST,,,90501
15693,1425,,W,225TH,ST,,,90501
15793,1500,,W,226TH,ST,,,90501
15794,1520,,W,226TH,ST,,,90501
15795,1524,,W,226TH,ST,,,90501
16046,1310,,W,227TH,ST,,,90501
16047,1318,,W,227TH,ST,,,90501
16054,1342,,W,227TH,ST,,,90501
16057,1408,,W,227TH,ST,,,90501
16045,1454,,W,227TH,ST,,,90501
16052,1604,,W,227TH,ST,,,90501
16053,1620,,W,227TH,ST,,,90501
15666,1624,,W,227TH,ST,,,90501
15667,1637,,W,227TH,ST,,,90501
15979,426,,W,22ND,ST,,,90731
15984,623,,W,22ND,ST,,,90731
15980,645,,W,22ND,ST,,,90731
14559,745,,E,22ND,ST,,,90011
15916,1023,,W,22ND,ST,,,90731
15915,1128,,W,22ND,ST,,,90731
15730,1265,,W,22ND,ST,,,90731
1189,1900,,W,22ND,ST,,,90018
2686,1915,,W,22ND,ST,,,90018
2687,1940,,W,22ND,ST,,,90018
2689,1962,,W,22ND,ST,,,90018
1190,2051,,W,22ND,ST,,,90018
3244,8,,E,23RD,AVE,,,90291
3242,12,,E,23RD,AVE,,,90291
3243,43,,E,23RD,AVE,,,90291
14803,501,,E,23RD,ST,,,90011
15987,536,,W,23RD,ST,,,90731
15986,577,,W,23RD,ST,,,90731
597,635,,W,23RD,ST,,,90007
15988,823,,W,23RD,ST,,,90731
601,850,,W,23RD,ST,,,90007
15985,1022,,W,23RD,ST,,,90731
606,1023,,W,23RD,ST,,,90007
605,1025,,W,23RD,ST,,,90007
25182,1268,,W,23RD,ST,,,90007
2696,1277,,W,23RD,ST,,,90007
2698,1318,,W,23RD,ST,,,90007
23947,1330,,E,23RD,ST,,,90011
2702,1535,,W,23RD,ST,,,90007
7203,1761,,W,23RD,ST,,,90018
7207,1888,,W,23RD,ST,,,90018
21721,2382,,W,23RD,ST,,,90018
21236,4047,,W,23RD,ST,,,90018
3245,11,,E,24TH,AVE,,,90291
3246,12,,E,24TH,AVE,,,90291
16903,655,,W,24TH,ST,,,90731
15767,723,,W,24TH,ST,,,90731
16902,740,,W,24TH,ST,,,90731
16900,972,,W,24TH,ST,,,90731
610,1008,,W,24TH,ST,,,90007
609,1016,,W,24TH,ST,,,90007
23948,1017,,E,24TH,ST,,,90011
608,1024,,W,24TH,ST,,,90007
12012,1105,,E,24TH,ST,,,90011
12010,1145,,E,24TH,ST,,,90011
7136,1240,,W,24TH,ST,,,90007
7139,1268,,W,24TH,ST,,,90007
7137,1442,,W,24TH,ST,,,90007
7450,1446,,W,24TH,ST,,,90007
7456,1594,,W,24TH,ST,,,90007
25180,1688,,W,24TH,ST,,,90007
21238,2232,,W,24TH,ST,,,90018
21245,2244,,W,24TH,ST,,,90018
21239,2320,,W,24TH,ST,,,90018
13631,9000,,W,24TH,ST,,,90034
15769,1342,,W,251ST,ST,,,90710
15770,1344,,W,251ST,ST,,,90710
15840,1437,,W,253RD,ST,,,90710
15843,1705,,W,253RD,ST,,,90717
16754,1071,,W,254TH,ST,,,90710
16756,1704,,W,256TH,ST,,,90717
7806,1603,,W,257TH,ST,,,90710
16161,1642,,W,259TH,PL,,,90710
16162,1661,,W,259TH,ST,,,90710
7810,1677,,W,259TH,PL,,,90710
2292,320,,E,25TH,ST,,,90011
16231,722,,W,25TH,ST,,,90731
12079,731,,E,25TH,ST,,,90011
12078,734,,E,25TH,ST,,,90011
16228,752,,W,25TH,ST,,,90731
16229,823,,W,25TH,ST,,,90731
16230,1022,,W,25TH,ST,,,90731
7145,1303,,W,25TH,ST,,,90007
2420,1449,,W,25TH,ST,,,90007
7144,1465,,W,25TH,ST,,,90007
2412,1738,,W,25TH,ST,,,90018
2413,1800,,W,25TH,ST,,,90018
2415,1827,,W,25TH,ST,,,90018
7390,1880,,W,25TH,ST,,,90018
21249,2177,,W,25TH,ST,,,90018
21248,3301,,W,25TH,ST,,,90018
21247,3310,,W,25TH,ST,,,90018
16234,1623,,W,260TH,ST,,,90710
16233,1634,,W,260TH,ST,,,90710
16235,1650,,W,261ST,ST,,,90710
16236,503,,W,26TH,ST,,,90731
16239,920,,W,26TH,ST,,,90731
24590,2185,,W,26TH,PL,,,90018
21250,2234,,W,26TH,PL,,,90018
20854,2235,,W,26TH,PL,,,90018
3248,11,,E,27TH,AVE,,,90291
15569,634,,W,27TH,ST,,,90007
15766,674,,W,27TH,ST,,,90731
15765,701,,W,27TH,ST,,,90731
2364,720,,W,27TH,ST,,,90007
2365,738,,W,27TH,ST,,,90007
2361,819,,E,27TH,ST,,,90011
2362,823,,E,27TH,ST,,,90011
2662,1582,,W,27TH,ST,,,90007
25176,1604,,W,27TH,ST,,,90007
2663,1881,,W,27TH,ST,,,90018
24670,2220,,W,27TH,ST,,,90018
21821,3529,,W,27TH,ST,,,90018
24638,3704,,W,27TH,ST,,,90018
21822,3715,,W,27TH,ST,,,90018
14542,217,,E,28TH,ST,,,90011
16014,785,,W,28TH,ST,,,90731
14544,825,,E,28TH,ST,,,90011
15509,1033,,E,28TH,ST,,,90011
14541,1220,,W,28TH,ST,,,90007
2664,1517,,W,28TH,ST,,,90007
21826,3838,,W,28TH,ST,,,90018
24641,4023,,W,28TH,ST,,,90018
24642,4027,,W,28TH,ST,,,90018
24645,4037,,W,28TH,ST,,,90018
21827,4038,,W,28TH,ST,,,90018
3250,20,,E,29TH,AVE,,,90291
15525,440,,E,29TH,ST,,,90011
16017,663,,W,29TH,ST,,,90731
12089,1102,,W,29TH,ST,,,90007
15534,1119,,W,29TH,ST,,,90007
15533,1124,,W,29TH,ST,,,90007
15532,1150,,W,29TH,ST,,,90007
15529,1230,,W,29TH,ST,,,90007
14565,1240,,W,29TH,ST,,,90007
15530,1282,,W,29TH,ST,,,90007
3605,1493,,W,29TH,ST,,,90007
16084,735,,W,2ND,ST,,,90731
22425,1322,,S,2ND,AVE,,,90019
22426,1325,,S,2ND,AVE,,,90019
22423,1405,,S,2ND,AVE,,,90019
22424,1413,,S,2ND,AVE,,,90019
22296,1513,,S,2ND,AVE,,,90019
22422,1514,,S,2ND,AVE,,,90019
24700,1541,,S,2ND,AVE,,,90019
22294,1542,,S,2ND,AVE,,,90019
22295,1550,,S,2ND,AVE,,,90019
2164,1662,,W,2ND,ST,,,90026
2165,1665,,W,2ND,ST,,,90026
2166,1666,,W,2ND,ST,,,90026
16131,2022,,E,2ND,ST,,,90033
21487,2120,,S,2ND,AVE,,,90018
15013,2329,,W,2ND,ST,,,90057
21829,2404,,S,2ND,AVE,,,90018
21490,2811,,S,2ND,AVE,,,90018
8800,3750,,W,2ND,ST,,,90004
8625,3820,,W,2ND,ST,,,90004
22397,4108,,S,2ND,AVE,,,90008
22059,4122,,W,2ND,ST,,,90004
20938,4454,,W,2ND,ST,,,90004
7280,4801,,S,2ND,AVE,,,90043
3251,21,,E,30TH,AVE,,,90291
14621,229,,E,30TH,ST,,,90011
16089,707,,W,30TH,ST,,,90731
14625,721,,W,30TH,ST,,,90007
14624,735,,W,30TH,ST,,,90007
16088,755,,W,30TH,ST,,,90731
16090,762,,W,30TH,ST,,,90731
16087,764,,W,30TH,ST,,,90731
16086,770,,W,30TH,ST,,,90731
16085,772,,W,30TH,ST,,,90731
14393,803,,W,30TH,ST,,,90007
12090,925,,W,30TH,ST,,,90007
12093,935,,W,30TH,ST,,,90007
11962,1130,,W,30TH,ST,,,90007
11960,1184,,W,30TH,ST,,,90007
11965,1226,,W,30TH,ST,,,90007
14396,119,,E,31ST,ST,,,90011
16092,719,,W,31ST,ST,,,90731
14398,1170,,W,31ST,ST,,,90007
15701,665,,W,34TH,ST,,,90731
14325,166,,E,35TH,ST,,,90011
15703,663,,W,35TH,ST,,,90731
7530,1010,,E,35TH,ST,,,90011
7222,1298,,W,35TH,PL,,,90007
7223,1336,,W,35TH,ST,,,90007
7216,1443,,W,35TH,PL,,,90018
7217,1447,,W,35TH,PL,,,90018
15949,559,,W,36TH,ST,,,90731
15948,705,,W,36TH,ST,,,90731
7466,1149,,W,36TH,ST,,,90007
7467,1152,,W,36TH,PL,,,90007
7469,1159,,W,36TH,ST,,,90007
7470,1165,,W,36TH,ST,,,90007
25174,1215,,W,36TH,ST,,,90007
2489,1225,,W,36TH,PL,,,90007
2738,1321,,W,36TH,PL,,,90007
2739,1321,,W,36TH,ST,,,90007
2677,1333,,W,36TH,PL,,,90007
2678,1352,,W,36TH,ST,,,90007
2679,1353,,W,36TH,PL,,,90007
7465,1358,,W,36TH,ST,,,90007
2680,1377,,W,36TH,ST,,,90007
15957,508,,W,37TH,ST,,,90731
16021,530,,W,37TH,ST,,,90731
15952,535,,W,37TH,ST,,,90731
15953,542,,W,37TH,ST,,,90731
15954,543,,W,37TH,ST,,,90731
15956,704,,W,37TH,ST,,,90731
15955,707,,W,37TH,ST,,,90731
10091,1147,,W,37TH,PL,,,90007
3356,1211,,W,37TH,DR,,,90007
3357,1216,,W,37TH,PL,,,90007
3358,1222,,W,37TH,PL,,,90007
6801,1229,,W,37TH,PL,,,90007
6803,1234,,W,37TH,PL,,,90007
7524,1250,,W,37TH,ST,,,90007
9848,1287,,W,37TH,PL,,,90007
10090,1296,,W,37TH,DR,,,90007
2682,1358,,W,37TH,ST,,,90007
2745,1385,,W,37TH,PL,,,90007
16024,726,,W,38TH,ST,,,90731
16022,727,,W,38TH,ST,,,90731
6984,1072,,W,38TH,ST,,,90037
25216,1181,,W,38TH,ST,,,90037
16303,445,,W,39TH,ST,,,90731
16304,503,,W,39TH,ST,,,90731
16059,711,,W,39TH,ST,,,90731
16058,719,,W,39TH,ST,,,90731
7299,1015,,W,39TH,ST,,,90037
12384,1087,,W,39TH,ST,,,90037
12385,1088,,W,39TH,ST,,,90037
12387,1095,,W,39TH,ST,,,90037
11820,1209,,W,39TH,PL,,,90037
11822,1222,,W,39TH,ST,,,90037
12313,1225,,W,39TH,PL,,,90037
12314,1230,,W,39TH,ST,,,90037
12316,1260,,W,39TH,ST,,,90037
23595,1520,,S,3RD,AVE,,,90019
23659,1537,,S,3RD,AVE,,,90019
8413,1615,,W,3RD,ST,,,90026
22430,1620,,S,3RD,AVE,,,90019
22431,1624,,S,3RD,AVE,,,90019
23594,1643,,S,3RD,AVE,,,90019
21495,2010,,S,3RD,AVE,,,90018
21494,2321,,S,3RD,AVE,,,90018
15743,2516,,E,3RD,ST,,,90033
21497,2540,,S,3RD,AVE,,,90018
15745,2819,,E,3RD,ST,,,90033
13638,3009,,W,3RD,ST,,,90036
8802,3207,,W,3RD,ST,,,90004
8801,3300,,W,3RD,ST,,,90020
21867,4451,,W,3RD,ST,,,90004
21190,4506,,W,3RD,ST,,,90020
13639,6015,,W,3RD,ST,,,90036
13637,9025,,W,3RD,ST,,,90048
13640,9033,,W,3RD,ST,,,90048
2329,247,,W,40TH,PL,,,90037
16372,457,,W,40TH,ST,,,90731
16371,502,,W,40TH,ST,,,90731
16309,642,,W,40TH,ST,,,90731
16374,704,,W,40TH,ST,,,90731
16375,705,,W,40TH,ST,,,90731
16376,710,,W,40TH,ST,,,90731
12171,875,,W,40TH,PL,,,90037
2336,883,,E,40TH,PL,,,90011
14458,705,,E,41ST,ST,,,90011
23944,761,,E,41ST,ST,,,90011
14456,869,,W,41ST,ST,,,90037
14471,1410,,E,41ST,ST,,,90011
2344,852,,W,42ND,PL,,,90037
12254,1161,,E,42ND,PL,,,90011
15423,120,,E,43RD,ST,,,90011
15182,225,,W,43RD,ST,,,90037
15485,1026,,W,43RD,ST,,,90037
14859,1369,,E,45TH,ST,,,90011
11862,1506,,W,46TH,ST,,,90062
12330,108,,E,47TH,PL,,,90011
12337,422,,E,47TH,ST,,,90011
12336,478,,W,47TH,ST,,,90037
12334,621,,E,47TH,ST,,,90011
2369,862,,E,47TH,ST,,,90011
12086,1151,,E,47TH,ST,,,90011
14998,1589,,E,47TH,ST,,,90011
2375,1327,,E,48TH,ST,,,90011
12110,1800,,W,48TH,ST,,,90062
12115,2412,,W,48TH,ST,,,90043
12113,2625,,W,48TH,ST,,,90043
12112,2700,,W,48TH,ST,,,90043
12116,3121,,W,48TH,ST,,,90043
14614,479,,E,49TH,ST,,,90011
23949,883,,E,49TH,ST,,,90011
11883,1740,,W,49TH,ST,,,90062
2640,309,,S,4TH,AVE,,,90291
3256,354,,S,4TH,AVE,,,90291
16378,537,,W,4TH,ST,,,90731
16380,558,,W,4TH,ST,,,90731
24720,1244,,S,4TH,AVE,,,90019
23128,1717,,S,4TH,AVE,,,90019
23122,1727,,S,4TH,AVE,,,90019
1104,1814,,W,4TH,ST,,,90057
1105,1817,,W,4TH,ST,,,90057
1106,1818,,W,4TH,ST,,,90057
21242,2120,,S,4TH,AVE,,,90018
1102,2503,,W,4TH,ST,,,90057
15603,3011,,E,4TH,ST,,,90033
8479,3011,,W,4TH,ST,,,90020
8478,3028,,W,4TH,ST,,,90020
19837,3801,,W,4TH,ST,,,90020
19839,3901,,W,4TH,ST,,,90020
19752,4071,,W,4TH,ST,,,90020
20333,4159,,W,4TH,ST,,,90020
19754,4171,,W,4TH,ST,,,90020
19755,4211,,W,4TH,ST,,,90020
21937,4267,,W,4TH,ST,,,90020
20774,4270,,W,4TH,ST,,,90020
20775,4304,,W,4TH,ST,,,90020
21935,4360,,W,4TH,ST,,,90020
21872,4420,,W,4TH,ST,,,90020
21868,4555,,W,4TH,ST,,,90020
14630,153,,E,50TH,ST,,,90011
14863,976,,E,50TH,ST,,,90011
14864,982,,E,50TH,ST,,,90011
14638,222,,E,51ST,ST,,,90011
14882,368,,E,51ST,ST,,,90011
12159,360,,E,52ND,ST,,,90011
12096,361,,E,52ND,ST,,,90011
12161,844,,W,52ND,ST,,,90037
489,1557,,W,52ND,ST,,,90062
491,1727,,W,52ND,ST,,,90062
15006,140,,W,53RD,ST,,,90037
496,2900,,W,54TH,ST,,,90043
11823,1409,,W,55TH,ST,,,90062
12843,1226,,W,57TH,ST,,,90037
12596,1324,,W,57TH,ST,,,90037
11825,1733,,W,58TH,ST,,,90062
12071,3601,,W,59TH,ST,,,90043
12074,3616,,W,59TH,PL,,,90043
2644,309,,S,5TH,AVE,,,90291
2645,360,,S,5TH,AVE,,,90291
2642,717,,S,5TH,AVE,,,90291
15992,860,,W,5TH,ST,,,90731
2641,919,,S,5TH,AVE,,,90291
2643,1002,,S,5TH,AVE,,,90291
23773,1101,,S,5TH,AVE,,,90019
23195,1272,,S,5TH,AVE,,,90019
23667,1720,,S,5TH,AVE,,,90019
22128,2325,,S,5TH,AVE,,,90018
22125,2412,,S,5TH,AVE,,,90018
9022,3007,,W,5TH,ST,,,90020
15851,3008,,E,5TH,ST,,,90063
15328,3055,,W,5TH,ST,,,90020
20500,3575,,W,5TH,ST,,,90020
20501,3725,,W,5TH,ST,,,90020
20498,3950,,W,5TH,ST,,,90020
21450,4254,,W,5TH,ST,,,90020
19302,4271,,W,5TH,ST,,,90020
19225,4304,,W,5TH,ST,,,90020
19226,4305,,W,5TH,ST,,,90020
20780,4350,,W,5TH,ST,,,90020
20778,4505,,W,5TH,ST,,,90020
14689,240,,E,60TH,ST,,,90003
11758,3205,,W,60TH,ST,,,90043
11761,3236,,W,60TH,ST,,,90043
12139,3327,,W,60TH,ST,,,90043
11754,3611,,W,60TH,ST,,,90043
14695,244,,E,61ST,ST,,,90003
14692,915,,W,61ST,ST,,,90044
14942,939,,W,62ND,PL,,,90044
11937,3316,,W,63RD,ST,,,90043
5545,3500,,W,63RD,ST,,,90043
5549,4680,,W,63RD,ST,,,90043
11947,843,,W,65TH,ST,,,90044
12518,918,,W,66TH,ST,,,90044
12612,2207,,W,67TH,ST,,,90043
12549,3018,,W,67TH,ST,,,90043
12548,3525,,W,67TH,ST,,,90043
12864,923,,W,68TH,ST,,,90044
14645,250,,W,69TH,ST,,,90003
12866,832,,W,69TH,ST,,,90044
12865,912,,W,69TH,ST,,,90044
16244,418,,W,6TH,ST,,,90731
2707,610,,S,6TH,AVE,,,90291
2711,614,,S,6TH,AVE,,,90291
2709,1301,,S,6TH,AVE,,,90291
23441,1348,,S,6TH,AVE,,,90019
23442,1732,,S,6TH,AVE,,,90019
22851,2021,,S,6TH,AVE,,,90018
22850,2130,,S,6TH,AVE,,,90018
22848,2200,,S,6TH,AVE,,,90018
15854,2302,,E,6TH,ST,,,90023
19230,4125,,W,6TH,ST,,,90020
19231,4169,,W,6TH,ST,,,90020
22401,4200,,S,6TH,AVE,,,90008
22400,4358,,S,6TH,AVE,,,90008
12550,936,,W,71ST,ST,,,90044
1324,601,,W,73RD,ST,,,90044
1326,626,,W,73RD,ST,,,90044
1325,632,,W,73RD,ST,,,90044
12800,716,,W,73RD,ST,,,90044
1191,626,,W,74TH,ST,,,90044
503,642,,W,74TH,ST,,,90044
1195,3321,,W,74TH,ST,,,90043
1201,449,,W,75TH,ST,,,90003
1200,518,,W,75TH,ST,,,90044
1197,535,,W,75TH,ST,,,90044
894,616,,W,75TH,ST,,,90044
895,622,,W,75TH,ST,,,90044
14711,1018,,E,75TH,ST,,,90001
1199,3404,,W,75TH,ST,,,90043
14713,134,,W,76TH,ST,,,90003
14714,317,,W,76TH,ST,,,90003
899,706,,W,76TH,ST,,,90044
909,520,,W,77TH,ST,,,90044
904,622,,W,77TH,ST,,,90044
905,723,,W,77TH,ST,,,90044
906,849,,W,77TH,ST,,,90044
911,735,,W,78TH,ST,,,90044
912,1804,,W,78TH,ST,,,90047
917,637,,W,79TH,ST,,,90044
14963,709,,E,79TH,ST,,,90001
921,836,,W,79TH,ST,,,90044
920,900,,W,79TH,ST,,,90044
924,1554,,W,79TH,ST,,,90047
925,1648,,W,79TH,ST,,,90047
913,3409,,W,79TH,ST,,,90043
2713,6330,,W,79TH,ST,,,90045
16311,640,,W,7TH,ST,,,90731
16248,742,,W,7TH,ST,,,90731
16246,794,,W,7TH,ST,,,90731
3334,915,,S,7TH,AVE,,,90291
1261,1135,,W,7TH,ST,,,90017
16312,1171,,W,7TH,ST,,,90731
16316,1237,,W,7TH,ST,,,90731
23447,1601,,S,7TH,AVE,,,90019
21362,1923,,S,7TH,AVE,,,90018
22074,3410,,W,7TH,ST,,,90005
15921,3518,,E,7TH,ST,,,90023
22071,3520,,W,7TH,ST,,,90005
19237,3840,,W,7TH,ST,,,90005
19238,3850,,W,7TH,ST,,,90005
22070,3901,,W,7TH,ST,,,90005
22077,3927,,W,7TH,ST,,,90005
22066,3951,,W,7TH,ST,,,90005
19236,4085,,W,7TH,ST,,,90005
12173,333,,E,80TH,ST,,,90003
